timestamp,amount,transaction_type,currency,description_raw,description_cleaned,merchant,is_income,risk_flag,source_type,user_id
2023-07-05T09:15:23Z,450.0,CREDIT,GBP,UBER BV *TRIP PAYOUT 1234567890,Uber Trip Payout,Uber,True,,platform,user_00001
2023-07-07T14:35:12Z,-23.99,DEBIT,GBP,PAYPAL *Klarna AB,Klarna Purchase,Klarna,False,,refund,user_00001
2023-07-10T18:47:51Z,200.0,CREDIT,GBP,FREELANCE PAY PAL *DESIGNWORK,Freelance Design Payment,PayPal,True,,platform,user_00001
2023-07-12T11:20:34Z,-15.0,DEBIT,GBP,MCDONALD'S MANCHESTER,McDonald's Manchester,McDonald's,False,,food,user_00001
2023-07-22T09:05:45Z,150.0,CREDIT,GBP,CASH DEPOSIT ATM 12345,Cash Deposit,ATM Deposit,True,unexplained inflow,cash,user_00001
2023-07-25T08:15:12Z,-60.0,DEBIT,GBP,TESCO STORES 1234,Tesco Stores,Tesco,False,,groceries,user_00001
2023-08-02T13:00:00Z,300.0,CREDIT,GBP,BACS NHS SHIFT PAYMENT,NHS Shift Payment,NHS,True,,agency,user_00001
2023-08-05T16:45:23Z,-30.0,DEBIT,GBP,BET365 *ONLINE SPORTS,Bet365 Online Sports,Bet365,False,gambling,leisure,user_00001
2023-08-10T10:30:55Z,475.0,CREDIT,GBP,UBER BV *TRIP PAYOUT 0987654321,Uber Trip Payout,Uber,True,,platform,user_00001
2023-08-15T12:22:10Z,-40.0,DEBIT,GBP,AMAZON UK RETAIL,Amazon UK Retail,Amazon,False,,shopping,user_00001
2023-08-20T14:00:31Z,250.0,CREDIT,GBP,FREELANCE PAY PAL *GRAPHICDESIGN,Freelance Graphic Design Payment,PayPal,True,,platform,user_00001
2023-08-25T08:45:22Z,-50.0,DEBIT,GBP,JD SPORTS MANCHESTER,JD Sports Manchester,JD Sports,False,,shopping,user_00001
2023-09-01T11:15:03Z,500.0,CREDIT,GBP,BACS NHS SHIFT PAYMENT,NHS Shift Payment,NHS,True,,agency,user_00001
2023-09-05T15:30:12Z,-25.0,DEBIT,GBP,STARBUCKS MANCHESTER,Starbucks Manchester,Starbucks,False,,food,user_00001
2023-09-10T09:55:37Z,400.0,CREDIT,GBP,UBER BV *TRIP PAYOUT 1122334455,Uber Trip Payout,Uber,True,,platform,user_00001
2023-09-15T13:22:43Z,-45.0,DEBIT,GBP,PAYPAL *Klarna AB,Klarna Purchase,Klarna,False,,refund,user_00001
2023-09-20T17:05:22Z,150.0,CREDIT,GBP,CASH DEPOSIT ATM 67890,Cash Deposit,ATM Deposit,True,unexplained inflow,cash,user_00001
2023-09-25T08:40:10Z,-35.0,DEBIT,GBP,ASDA STORES 5678,Asda Stores,Asda,False,,groceries,user_00001
